year,question_id,opinion,question_id_mapped
2016,2885,1,2885
2016,3751,1,3751
2016,3776,1,3776
2016,682,0,682
2016,917,0,917
2016,1948,0,1948
2016,3728,0,3728
2016,3199,1,3199
2016,3737,1,3737
2016,3491,1,3491
2016,3481,1,3481
2016,3738,1,3738
2016,227,1,227
2016,932,1,932
2016,229,0,229
2016,1386,0,1386
2016,870,0,870
2016,3715,1,3715
2016,2085,1,2085
2016,2115,1,2115
2016,3740,1,3740
2016,3785,1,3785
2016,3727,1,3727
2016,3742,1,3742
2016,2323,1,2323
2016,3762,1,3762
2016,3410,1,3410
2016,3757,1,3757
2016,3768,1,3768
2016,3769,1,3769
2016,3758,1,3758
2016,3741,1,3741
2016,2856,1,2856
2016,2818,1,2818
2016,3732,1,3732
2016,2339,1,2339
2016,2340,1,2340
2016,2862,1,2862
2016,2879,0,2879
2016,1387,0,1387
2016,3784,0,3784
2016,248,0,248
2016,260,0,260
2016,3423,0,3423
2016,1602,0,1602
2016,3,1,3
2016,5,1,5
2016,6,1,6
2016,10,1,10
2016,11,1,11
2016,14,1,14
2016,15,1,15
2016,16,1,16
2016,18,1,18
2016,23,1,23
2016,24,1,24
2016,26,1,26
2016,29,1,29
2016,30,1,30
2016,31,1,31
2016,32,1,32
2016,33,1,33
2016,34,1,34
2016,36,1,36
2016,38,1,38
2016,39,1,39
2016,41,1,41
2016,44,1,44
2016,45,1,45
2016,47,1,47
2016,48,1,48
2016,50,1,50
2016,264,0,264
2016,2324,0,2324
2016,3775,0,3775
2016,3783,0,3783
2016,544,0,544
2016,3718,1,3718
2016,2918,1,2918
2016,2899,0,2899
2016,3469,1,3469
2016,3782,1,3782
2016,3735,1,3735
2016,3726,1,3726
2016,2886,1,2886
2016,3767,1,3767
2016,3772,1,3772
2016,3773,1,3773
2016,3725,1,3725
2016,3777,1,3777
2016,3778,1,3778
2016,3212,1,3212
2016,3223,1,3223
2016,3284,1,3284
2016,3278,1,3278
2016,3279,1,3279
2016,3301,1,3301
2016,3787,1,3787
2016,3788,1,3788
2016,3786,1,3786
2016,3716,1,3716
2016,921,1,921
2016,3789,1,3789
2016,3721,1,3721
2016,3748,1,3748
2016,3747,1,3747
2016,584,1,584
2016,610,1,610
