year,state,state_po,candidate,party,candidatevotes
2000,South Carolina,SC,"Bush, George W.",republican,786892
2000,South Carolina,SC,"Gore, Al",democrat,566037
2004,South Carolina,SC,"Bush, George W.",republican,937974
2004,South Carolina,SC,"Kerry, John",democrat,661669
2008,South Carolina,SC,"McCain, John",republican,1034896
2008,South Carolina,SC,"Obama, Barack H.",democrat,862449
2012,South Carolina,SC,"Romney, Mitt",republican,1071645
2012,South Carolina,SC,"Obama, Barack H.",democrat,865941
2016,South Carolina,SC,"Trump, Donald J.",republican,1155389
2016,South Carolina,SC,"Clinton, Hillary",democrat,855373
1976,South Dakota,SD,"Ford, Gerald",republican,151505
1976,South Dakota,SD,"Carter, Jimmy",democrat,147068
1980,South Dakota,SD,"Reagan, Ronald",republican,198343
1980,South Dakota,SD,"Carter, Jimmy",democrat,103855
1984,South Dakota,SD,"Reagan, Ronald",republican,200267
1984,South Dakota,SD,"Mondale, Walter",democrat,116113
1988,South Dakota,SD,"Bush, George H.W.",republican,165415
1988,South Dakota,SD,"Dukakis, Michael",democrat,145560
1992,South Dakota,SD,"Bush, George H.W.",republican,136718
1992,South Dakota,SD,"Clinton, Bill",democrat,124888
1996,South Dakota,SD,"Dole, Robert",republican,150543
1996,South Dakota,SD,"Clinton, Bill",democrat,139333
2000,South Dakota,SD,"Bush, George W.",republican,190700
2000,South Dakota,SD,"Gore, Al",democrat,118804
2004,South Dakota,SD,"Bush, George W.",republican,232584
2004,South Dakota,SD,"Kerry, John",democrat,149244
2008,South Dakota,SD,"McCain, John",republican,203054
2008,South Dakota,SD,"Obama, Barack H.",democrat,170924
2012,South Dakota,SD,"Romney, Mitt",republican,210610
2012,South Dakota,SD,"Obama, Barack H.",democrat,145039
2016,South Dakota,SD,"Trump, Donald J.",republican,227721
2016,South Dakota,SD,"Clinton, Hillary",democrat,117458
1976,Tennessee,TN,"Carter, Jimmy",democrat,825879
1976,Tennessee,TN,"Ford, Gerald",republican,633969
1980,Tennessee,TN,"Reagan, Ronald",republican,787761
1980,Tennessee,TN,"Carter, Jimmy",democrat,783051
1984,Tennessee,TN,"Reagan, Ronald",republican,990212
1984,Tennessee,TN,"Mondale, Walter",democrat,711714
1988,Tennessee,TN,"Bush, George H.W.",republican,947233
1988,Tennessee,TN,"Dukakis, Michael",democrat,679794
1992,Tennessee,TN,"Clinton, Bill",democrat,933521
1992,Tennessee,TN,"Bush, George H.W.",republican,841300
1996,Tennessee,TN,"Clinton, Bill",democrat,909146
1996,Tennessee,TN,"Dole, Robert",republican,863530
2000,Tennessee,TN,"Bush, George W.",republican,1061949
2000,Tennessee,TN,"Gore, Al",democrat,981720
2004,Tennessee,TN,"Bush, George W.",republican,1384375
2004,Tennessee,TN,"Kerry, John",democrat,1036477
2008,Tennessee,TN,"McCain, John",republican,1479178
2008,Tennessee,TN,"Obama, Barack H.",democrat,1087437
2012,Tennessee,TN,"Romney, Mitt",republican,1462330
2012,Tennessee,TN,"Obama, Barack H.",democrat,960709
2016,Tennessee,TN,"Trump, Donald J.",republican,1522925
2016,Tennessee,TN,"Clinton, Hillary",democrat,870695
1976,Texas,TX,"Carter, Jimmy",democrat,2082319
1976,Texas,TX,"Ford, Gerald",republican,1953300
1980,Texas,TX,"Reagan, Ronald",republican,2510705
1980,Texas,TX,"Carter, Jimmy",democrat,1881147
1984,Texas,TX,"Reagan, Ronald",republican,3433428
1984,Texas,TX,"Mondale, Walter",democrat,1949276
1988,Texas,TX,"Bush, George H.W.",republican,3036829
1988,Texas,TX,"Dukakis, Michael",democrat,2352748
1992,Texas,TX,"Bush, George H.W.",republican,2496071
1992,Texas,TX,"Clinton, Bill",democrat,2281815
1996,Texas,TX,"Dole, Robert",republican,2736167
1996,Texas,TX,"Clinton, Bill",democrat,2459683
2000,Texas,TX,"Bush, George W.",republican,3799639
2000,Texas,TX,"Gore, Al",democrat,2433746
2004,Texas,TX,"Bush, George W.",republican,4526917
2004,Texas,TX,"Kerry, John",democrat,2832704
2008,Texas,TX,"McCain, John",republican,4479328
2008,Texas,TX,"Obama, Barack H.",democrat,3528633
2012,Texas,TX,"Romney, Mitt",republican,4569843
2012,Texas,TX,"Obama, Barack H.",democrat,3308124
2016,Texas,TX,"Trump, Donald J.",republican,4685047
2016,Texas,TX,"Clinton, Hillary",democrat,3877868
1976,Utah,UT,"Ford, Gerald",republican,337908
1976,Utah,UT,"Carter, Jimmy",democrat,182110
1980,Utah,UT,"Reagan, Ronald",republican,439687
1980,Utah,UT,"Carter, Jimmy",democrat,124266
1984,Utah,UT,"Reagan, Ronald",republican,469105
1984,Utah,UT,"Mondale, Walter",democrat,155369
1988,Utah,UT,"Bush, George H.W.",republican,428442
1988,Utah,UT,"Dukakis, Michael",democrat,207343
1992,Utah,UT,"Bush, George H.W.",republican,322632
1992,Utah,UT,"Clinton, Bill",democrat,183429
1996,Utah,UT,"Dole, Robert",republican,361911
1996,Utah,UT,"Clinton, Bill",democrat,221633
2000,Utah,UT,"Bush, George W.",republican,515096
2000,Utah,UT,"Gore, Al",democrat,203053
2004,Utah,UT,"Bush, George W.",republican,663742
2004,Utah,UT,"Kerry, John",democrat,241199
2008,Utah,UT,"McCain, John",republican,596030
2008,Utah,UT,"Obama, Barack H.",democrat,327670
2012,Utah,UT,"Romney, Mitt",republican,740600
2012,Utah,UT,"Obama, Barack H.",democrat,251813
2016,Utah,UT,"Trump, Donald J.",republican,515211
2016,Utah,UT,"Clinton, Hillary",democrat,310674
1976,Vermont,VT,"Ford, Gerald",republican,100387
1976,Vermont,VT,"Carter, Jimmy",democrat,77798
1980,Vermont,VT,"Reagan, Ronald",republican,94628
1980,Vermont,VT,"Carter, Jimmy",democrat,81952
1984,Vermont,VT,"Reagan, Ronald",republican,135865
1984,Vermont,VT,"Mondale, Walter",democrat,95730
1988,Vermont,VT,"Bush, George H.W.",republican,124331
1988,Vermont,VT,"Dukakis, Michael",democrat,115775
1992,Vermont,VT,"Clinton, Bill",democrat,133592
1992,Vermont,VT,"Bush, George H.W.",republican,88122
1996,Vermont,VT,"Clinton, Bill",democrat,137894
1996,Vermont,VT,"Dole, Robert",republican,80352
2000,Vermont,VT,"Gore, Al",democrat,149022
2000,Vermont,VT,"Bush, George W.",republican,119775
2004,Vermont,VT,"Kerry, John",democrat,184067
2004,Vermont,VT,"Bush, George W.",republican,121180
2008,Vermont,VT,"Obama, Barack H.",democrat,219262
2008,Vermont,VT,"McCain, John",republican,98974
2012,Vermont,VT,"Obama, Barack H.",democrat,199239
2012,Vermont,VT,"Romney, Mitt",republican,92698
2016,Vermont,VT,"Clinton, Hillary",democrat,178573
2016,Vermont,VT,"Trump, Donald J.",republican,95369
1976,Virginia,VA,"Ford, Gerald",republican,836554
1976,Virginia,VA,"Carter, Jimmy",democrat,813896
1980,Virginia,VA,"Reagan, Ronald",republican,989609
1980,Virginia,VA,"Carter, Jimmy",democrat,752174
1984,Virginia,VA,"Reagan, Ronald",republican,1337078
1984,Virginia,VA,"Mondale, Walter",democrat,796250
1988,Virginia,VA,"Bush, George H.W.",republican,1309162
1988,Virginia,VA,"Dukakis, Michael",democrat,859799
1992,Virginia,VA,"Bush, George H.W.",republican,1150517
1992,Virginia,VA,"Clinton, Bill",democrat,1038650
1996,Virginia,VA,"Dole, Robert",republican,1138350
1996,Virginia,VA,"Clinton, Bill",democrat,1091060
2000,Virginia,VA,"Bush, George W.",republican,1437490
2000,Virginia,VA,"Gore, Al",democrat,1217290
2004,Virginia,VA,"Bush, George W.",republican,1716959
2004,Virginia,VA,"Kerry, John",democrat,1454742
2008,Virginia,VA,"Obama, Barack H.",democrat,1959532
2008,Virginia,VA,"McCain, John",republican,1725005
2012,Virginia,VA,"Obama, Barack H.",democrat,1971820
2012,Virginia,VA,"Romney, Mitt",republican,1822522
2016,Virginia,VA,"Clinton, Hillary",democrat,1981473
2016,Virginia,VA,"Trump, Donald J.",republican,1769443
1976,Washington,WA,"Ford, Gerald",republican,777732
1976,Washington,WA,"Carter, Jimmy",democrat,717323
1980,Washington,WA,"Reagan, Ronald",republican,865244
1980,Washington,WA,"Carter, Jimmy",democrat,650193
1984,Washington,WA,"Reagan, Ronald",republican,1051670
1984,Washington,WA,"Mondale, Walter",democrat,798352
1988,Washington,WA,"Dukakis, Michael",democrat,933516
1988,Washington,WA,"Bush, George H.W.",republican,903835
1992,Washington,WA,"Clinton, Bill",democrat,993037
1992,Washington,WA,"Bush, George H.W.",republican,731234
1996,Washington,WA,"Clinton, Bill",democrat,1123323
1996,Washington,WA,"Dole, Robert",republican,840712
2000,Washington,WA,"Gore, Al",democrat,1247652
2000,Washington,WA,"Bush, George W.",republican,1108864
2004,Washington,WA,"Kerry, John",democrat,1510201
2004,Washington,WA,"Bush, George W.",republican,1304894
2008,Washington,WA,"Obama, Barack H.",democrat,1750848
2008,Washington,WA,"McCain, John",republican,1229216
2012,Washington,WA,"Obama, Barack H.",democrat,1755396
2012,Washington,WA,"Mitt, Romney",republican,1290670
2016,Washington,WA,"Clinton, Hillary",democrat,1742718
2016,Washington,WA,"Trump, Donald J.",republican,1221747
1976,West Virginia,WV,"Carter, Jimmy",democrat,435864
1976,West Virginia,WV,"Ford, Gerald",republican,314726
1980,West Virginia,WV,"Carter, Jimmy",democrat,367462
1980,West Virginia,WV,"Reagan, Ronald",republican,334206
1984,West Virginia,WV,"Reagan, Ronald",republican,405483
1984,West Virginia,WV,"Mondale, Walter",democrat,328125
1988,West Virginia,WV,"Dukakis, Michael",democrat,341016
1988,West Virginia,WV,"Bush, George H.W.",republican,310065
1992,West Virginia,WV,"Clinton, Bill",democrat,331001
1992,West Virginia,WV,"Bush, George H.W.",republican,241974
1996,West Virginia,WV,"Clinton, Bill",democrat,327812
1996,West Virginia,WV,"Dole, Robert",republican,233946
2000,West Virginia,WV,"Bush, George W.",republican,336475
2000,West Virginia,WV,"Gore, Al",democrat,295497
2004,West Virginia,WV,"Bush, George W.",republican,423778
2004,West Virginia,WV,"Kerry, John",democrat,326541
2008,West Virginia,WV,"McCain, John",republican,397466
2008,West Virginia,WV,"Obama, Barack H.",democrat,303857
2012,West Virginia,WV,"Romney, Mitt",republican,417655
2012,West Virginia,WV,"Obama, Barack H.",democrat,238269
2016,West Virginia,WV,"Trump, Donald J.",republican,489371
2016,West Virginia,WV,"Clinton, Hillary",democrat,188794
1976,Wisconsin,WI,"Carter, Jimmy",democrat,1040232
1976,Wisconsin,WI,"Ford, Gerald",republican,1004987
1980,Wisconsin,WI,"Reagan, Ronald",republican,1088845
1980,Wisconsin,WI,"Carter, Jimmy",democrat,981584
1984,Wisconsin,WI,"Reagan, Ronald",republican,1198584
1984,Wisconsin,WI,"Mondale, Walter",democrat,995740
1988,Wisconsin,WI,"Dukakis, Michael",democrat,1126794
1988,Wisconsin,WI,"Bush, George H.W.",republican,1047499
1992,Wisconsin,WI,"Clinton, Bill",democrat,1041066
1992,Wisconsin,WI,"Bush, George H.W.",republican,930855
1996,Wisconsin,WI,"Clinton, Bill",democrat,1071971
1996,Wisconsin,WI,"Dole, Robert",republican,845029
2000,Wisconsin,WI,"Gore, Al",democrat,1242987
2000,Wisconsin,WI,"Bush, George W.",republican,1237279
2004,Wisconsin,WI,"Kerry, John",democrat,1489504
2004,Wisconsin,WI,"Bush, George W.",republican,1478120
2008,Wisconsin,WI,"Obama, Barack H.",democrat,1677211
2008,Wisconsin,WI,"McCain, John",republican,1262393
2012,Wisconsin,WI,"Obama, Barack H.",democrat,1620985
2012,Wisconsin,WI,"Romney, Mitt",republican,1410966
2016,Wisconsin,WI,"Trump, Donald J.",republican,1405284
2016,Wisconsin,WI,"Clinton, Hillary",democrat,1382536
1976,Wyoming,WY,"Ford, Gerald",republican,92717
1976,Wyoming,WY,"Carter, Jimmy",democrat,62239
1980,Wyoming,WY,"Reagan, Ronald",republican,110700
1980,Wyoming,WY,"Carter, Jimmy",democrat,49427
1984,Wyoming,WY,"Reagan, Ronald",republican,133241
1984,Wyoming,WY,"Mondale, Walter",democrat,53370
1988,Wyoming,WY,"Bush, George H.W.",republican,106867
1988,Wyoming,WY,"Dukakis, Michael",democrat,67113
1992,Wyoming,WY,"Bush, George H.W.",republican,79347
1992,Wyoming,WY,"Clinton, Bill",democrat,68160
1996,Wyoming,WY,"Dole, Robert",republican,105388
1996,Wyoming,WY,"Clinton, Bill",democrat,77934
2000,Wyoming,WY,"Bush, George W.",republican,147947
2000,Wyoming,WY,"Gore, Al",democrat,60481
2004,Wyoming,WY,"Bush, George W.",republican,167629
2004,Wyoming,WY,"Kerry, John",democrat,70776
2008,Wyoming,WY,"McCain, John",republican,164958
2008,Wyoming,WY,"Obama, Barack H.",democrat,82868
2012,Wyoming,WY,"Romney, Mitt",republican,170962
2012,Wyoming,WY,"Obama, Barack H.",democrat,69286
2016,Wyoming,WY,"Trump, Donald J.",republican,174419
2016,Wyoming,WY,"Clinton, Hillary",democrat,55973
