state,year,votes,category,perwt,cat,question_id_mapped,region,respondents,question,democrat,total,democrat_cred,votes_total,votes_dem
MN,2016,2968281,1,1732953,educ_sel,1951,North Central,1636,Are you a college graduate?,53,56,53,1662237.36,880985.8008
MN,2016,2968281,asian,127953,race_sel,260,North Central,1636,Race,,2,68.2612566398041,59365.62,40523.7182240109
MN,2016,2968281,black,175541,race_sel,260,North Central,1636,Race,,4,89.2523663220089,118731.24,105970.441263464
MN,2016,2968281,latino,95459,race_sel,260,North Central,1636,Race,,4,62.6983177059982,95459,59851.1870989688
MN,2016,2968281,other,101861,race_sel,260,North Central,1636,Race,,3,53.4807199270437,89048.43,47623.7414477296
MN,2016,2968281,white,3508114,race_sel,260,North Central,1636,Race,43,87,43,2582404.47,1110433.9221
MN,2016,2968281,0,2690467,inc_sel,917,North Central,1636,Income,45,63,45,1870017.03,841507.6635
MN,2016,2968281,1,1318461,inc_sel,917,North Central,1636,Income,52,37,52,1098263.97,571097.2644
MO,2008,2950504,0,3091430,educ_sel,1951,North Central,,,,60.2954771902965,65,1779020.46631879,1156363.30310721
MO,2008,2950504,1,1296595,educ_sel,1951,North Central,,,,39.7045228097035,56,1171483.53368121,656030.77886148
MO,2008,2950504,asian,37094,race_sel,260,North Central,2739,Vote by Race,,1,66.6212867592178,29505.04,19656.6373068219
MO,2008,2950504,black,454071,race_sel,260,North Central,2739,Vote by Race,93,13,93.4164333780389,383565.52,358313.228451928
MO,2008,2950504,latino,69190,race_sel,260,North Central,2739,Vote by Race,,2,71.0987839297537,59010.08,41955.4492759748
MO,2008,2950504,other,72505,race_sel,260,North Central,2739,Vote by Race,,2,70.071427376871,59010.08,41349.2053522335
MO,2008,2950504,white,3755165,race_sel,260,North Central,2739,Vote by Race,42,82,42,2419413.28,1016153.5776
MO,2012,2757323,0,3130168,educ_sel,1951,North Central,2103,Are You a College Graduate?,45,61,45,1681967.03,756885.1635
MO,2012,2757323,1,1373010,educ_sel,1951,North Central,2103,Are You a College Graduate?,43,39,43,1075355.97,462403.0671
MO,2012,2757323,asian,44361,race_sel,260,North Central,2103,Vote by Race,,1,66.923240363423,27573.23,18452.8989888595
MO,2012,2757323,black,492785,race_sel,260,North Central,2103,Vote by Race,94,16,94,441171.68,414701.3792
MO,2012,2757323,latino,96517,race_sel,260,North Central,2103,Vote by Race,,3,66.1433155509206,82719.69,54713.5455794433
MO,2012,2757323,other,81559,race_sel,260,North Central,2103,Vote by Race,,2,60.0409756340874,55146.46,33110.4726116617
MO,2012,2757323,white,3787956,race_sel,260,North Central,2103,Vote by Race,32,78,32,2150711.94,688227.8208
MO,2012,2757323,0,3552301,inc_sel,917,North Central,2103,Vote by Income,47,80,47,2205858.4,1036753.448
MO,2012,2757323,1,950877,inc_sel,917,North Central,2103,Vote by Income,38,20,38,551464.6,209556.548
MO,2016,2808605,0,3082335,educ_sel,1951,North Central,1941,Are you a college graduate?,37,54,37,1516646.7,561159.279
MO,2016,2808605,1,1496823,educ_sel,1951,North Central,1941,Are you a college graduate?,39,46,39,1291958.3,503863.737
MO,2016,2808605,asian,52646,race_sel,260,North Central,1941,Race,,1,68.2612566398041,28086.05,19171.8906704837
MO,2016,2808605,black,509333,race_sel,260,North Central,1941,Race,90,14,89.8130915805022,393204.7,353149.297309839
MO,2016,2808605,latino,108277,race_sel,260,North Central,1941,Race,,4,62.6983177059982,108277,67887.8574625236
MO,2016,2808605,other,88890,race_sel,260,North Central,1941,Race,,3,53.4807199270437,84258.15,45061.8652172084
MO,2016,2808605,white,3820012,race_sel,260,North Central,1941,Race,28,79,28,2218797.95,621263.426
MO,2016,2808605,0,3414683,inc_sel,917,North Central,1941,Income,41,70,41,1966023.5,806069.635
MO,2016,2808605,1,1164475,inc_sel,917,North Central,1941,Income,30,30,30,842581.5,252774.45
MS,2008,1289856,0,1600544,educ_sel,1951,South,,,,63.2552029275098,60,815901.030272661,489540.618163597
MS,2008,1289856,1,537641,educ_sel,1951,South,,,,36.7447970724902,62,473954.969727339,293852.08123095
MS,2008,1289856,asian,10836,race_sel,260,South,1053,Vote by Race,,0,66.6212867592178,0,0
MS,2008,1289856,black,758577,race_sel,260,South,1053,Vote by Race,98,33,98,425652.48,417139.4304
MS,2008,1289856,latino,16782,race_sel,260,South,1053,Vote by Race,,4,60.4642962962963,16782,10147.1182044444
MS,2008,1289856,other,21025,race_sel,260,South,1053,Vote by Race,,1,70.071427376871,12898.56,9038.20510306213
MS,2008,1289856,white,1330965,race_sel,260,South,1053,Vote by Race,11,62,11,799710.72,87968.1792
MS,2012,1285584,0,1620192,educ_sel,1951,South,875,Are You a College Graduate?,47,61,47,784206.24,368576.9328
MS,2012,1285584,1,583679,educ_sel,1951,South,875,Are You a College Graduate?,36,39,36,501377.76,180495.9936
MS,2012,1285584,asian,10345,race_sel,260,South,875,Vote by Race,,0,66,0,0
MS,2012,1285584,black,793396,race_sel,260,South,875,Vote by Race,96,36,96,462810.24,444297.8304
MS,2012,1285584,latino,31167,race_sel,260,South,875,Vote by Race,,3,61.9304985560116,31167,19301.8784849521
MS,2012,1285584,other,21852,race_sel,260,South,875,Vote by Race,,1,55.4526033154331,12855.84,7128.89795806678
MS,2012,1285584,white,1347111,race_sel,260,South,875,Vote by Race,10,59,10,758494.56,75849.456
MS,2012,1285584,0,1816338,inc_sel,917,South,875,Vote by Income,46,81,46,1041323.04,479008.5984
MS,2012,1285584,1,387533,inc_sel,917,South,875,Vote by Income,23,19,23,244260.96,56180.0208
MS,2016,1209357,0,1601375,educ_sel,1951,South,,,,58.030986051494,42.7699097371566,701801.791982766,300159.992964776
MS,2016,1209357,1,620556,educ_sel,1951,South,,,,41.969013948506,47.6575247973468,507555.208017234,241888.249121039
MS,2016,1209357,asian,15892,race_sel,260,South,,,,0.742780424754604,72,8982.86706139954,6467.66428420767
MS,2016,1209357,black,810361,race_sel,260,South,,,,34.2683857315705,87.7692895887596,414427.121631749,363739.740519331
MS,2016,1209357,latino,33607,race_sel,260,South,,,,1.35803337422813,61.6474876183559,16423.4716735641,10124.6576664646
MS,2016,1209357,other,21724,race_sel,260,South,,,,1.59876731135372,56.6608608331314,19334.804393568,10955.2666097977
MS,2016,1209357,white,1340347,race_sel,260,South,,,,62.0320331580931,29.3983957197616,750188.73523972,220543.453030847
MS,2016,1209357,0,1792204,inc_sel,917,South,,,,75.9998680069163,48.5656534531744,919109.723732403,446371.643282308
MS,2016,1209357,1,429727,inc_sel,917,South,,,,24.0001319930837,41.335218022973,290247.276267598,119974.344450952
MT,2008,497599,0,503105,educ_sel,1951,West,,,,57.3204140142847,61,285225.806930941,173987.742227874
MT,2008,497599,1,228365,educ_sel,1951,West,,,,42.6795859857153,60,212373.193069059,127423.915841436
MT,2008,497599,asian,2617,race_sel,260,West,1353,Vote by Race,,0,66.6212867592178,0,0
MT,2008,497599,black,2367,race_sel,260,West,1353,Vote by Race,,0,94,0,0
MT,2008,497599,latino,14525,race_sel,260,West,1353,Vote by Race,,4,69.4700287699654,14525,10090.5216788375
MT,2008,497599,other,51028,race_sel,260,West,1353,Vote by Race,,6,70.071427376871,29855.94,20920.4833147822
MT,2008,497599,white,660933,race_sel,260,West,1353,Vote by Race,45,90,45,447839.1,201527.595
MT,2012,491966,0,516300,educ_sel,1951,West,1964,Are You a College Graduate?,37,56,37,275500.96,101935.3552
MT,2012,491966,1,262778,educ_sel,1951,West,1964,Are You a College Graduate?,48,44,48,216465.04,103903.2192
MT,2012,491966,asian,3634,race_sel,260,West,1964,Vote by Race,,0,67.0899254988581,0,0
MT,2012,491966,black,1661,race_sel,260,West,1964,Vote by Race,,0,93.467974610502,0,0
MT,2012,491966,latino,18743,race_sel,260,West,1964,Vote by Race,,4,69.7794082440254,18743,13078.7544871777
MT,2012,491966,other,58099,race_sel,260,West,1964,Vote by Race,74,6,67.6437474231709,29517.96,19967.0543068726
MT,2012,491966,white,696941,race_sel,260,West,1964,Vote by Race,38,89,38,437849.74,166382.9012
MT,2012,491966,0,628745,inc_sel,917,West,1964,Vote by Income,43,83,43,408331.78,175582.6654
MT,2012,491966,1,150333,inc_sel,917,West,1964,Vote by Income,40,17,40,83634.22,33453.688
MT,2016,516901,0,517196,educ_sel,1951,West,,,,51.2380031487797,45.8582904562359,264849.750656074,121455.567928479
MT,2016,516901,1,281512,educ_sel,1951,West,,,,48.7619968512203,52.1881125637589,252051.249343926,131540.789725969
MT,2016,516901,asian,5482,race_sel,260,West,,,,0.590088640997058,67.1197511664075,3050.1740862002,2047.26925679982
MT,2016,516901,black,3785,race_sel,260,West,,,,0.384957723903148,83.6044303797469,1989.85032443261,1663.60302915143
MT,2016,516901,latino,22045,race_sel,260,West,,,,2.66238653419848,61.9943359562884,13761.9026191373,8531.60014368522
MT,2016,516901,other,57234,race_sel,260,West,,,,6.66672196594272,50.3396265134414,34460.3525091776,17347.2127483353
MT,2016,516901,white,710162,race_sel,260,West,,,,89.6958451349586,41.7123031202578,463638.720461052,193394.388461599
MT,2016,516901,0,614373,inc_sel,917,West,,,,75.4826058938313,53.9602312600793,390170.344691273,210536.820303659
MT,2016,516901,1,184335,inc_sel,917,West,,,,24.5173941061687,48.4340454338749,126730.655308727,61380.7831708764
NC,2008,4354571,0,4468513,educ_sel,1951,South,,,,55.1277921606902,60,2400578.85036969,1440347.31022181
NC,2008,4354571,1,2103270,educ_sel,1951,South,,,,44.8722078393098,62,1953992.14963031,1211475.13277079
NC,2008,4354571,asian,77956,race_sel,260,South,2814,Vote by Race,,1,66.6212867592178,43545.71,29010.7123304374
NC,2008,4354571,black,1397593,race_sel,260,South,2814,Vote by Race,95,23,95,1001551.33,951473.7635
NC,2008,4354571,latino,137998,race_sel,260,South,2814,Vote by Race,,3,60.4642962962963,130637.13,78988.8213561778
NC,2008,4354571,other,132922,race_sel,260,South,2814,Vote by Race,,2,70.071427376871,87091.42,61026.2011167857
NC,2008,4354571,white,4825314,race_sel,260,South,2814,Vote by Race,35,72,35,3135291.12,1097351.892
NC,2012,4542488,0,4652913,educ_sel,1951,South,4341,Are You a College Graduate?,47,57,47,2589218.16,1216932.5352
NC,2012,4542488,1,2351304,educ_sel,1951,South,4341,Are You a College Graduate?,50,43,50,1953269.84,976634.92
NC,2012,4542488,asian,96075,race_sel,260,South,4341,Vote by Race,,1,66,45424.88,29980.4208
NC,2012,4542488,black,1531584,race_sel,260,South,4341,Vote by Race,96,23,96,1044772.24,1002981.3504
NC,2012,4542488,latino,213744,race_sel,260,South,4341,Vote by Race,68,4,63.4478739170087,181699.52,115284.48235741
NC,2012,4542488,other,164854,race_sel,260,South,4341,Vote by Race,52,2,54.5894524865748,90849.76,49594.3865693673
NC,2012,4542488,white,4997960,race_sel,260,South,4341,Vote by Race,31,70,31,3179741.6,985719.896
NC,2012,4542488,0,5532582,inc_sel,917,South,4341,Vote by Income,51,77,51,3497715.76,1783835.0376
NC,2012,4542488,1,1471635,inc_sel,917,South,4341,Vote by Income,44,23,44,1044772.24,459699.7856
NC,2016,4769640,0,4642332,educ_sel,1951,South,4297,Are you a college graduate?,43,50,43,2384820,1025472.6
NC,2016,4769640,1,2657207,educ_sel,1951,South,4297,Are you a college graduate?,49,50,49,2384820,1168561.8
NC,2016,4769640,asian,124338,race_sel,260,South,4297,Race,,1,72,47696.4,34341.408
NC,2016,4769640,black,1605737,race_sel,260,South,4297,Race,89,20,89,953928,848995.92
NC,2016,4769640,latino,264710,race_sel,260,South,4297,Race,57,5,60.4856157137669,238482,144247.306066506
NC,2016,4769640,other,187905,race_sel,260,South,4297,Race,55,3,56.2456456248485,143089.2,80481.4443594308
NC,2016,4769640,white,5116849,race_sel,260,South,4297,Race,32,70,32,3338748,1068399.36
NC,2016,4769640,0,5540645,inc_sel,917,South,4297,Income,52,70,52,3338748,1736148.96
NC,2016,4769640,1,1758894,inc_sel,917,South,4297,Income,38,30,38,1430892,543738.96
ND,2008,321133,0,323707,educ_sel,1951,North Central,,,,54.111946611342,65,173771.317511401,112951.356382411
ND,2008,321133,1,174843,educ_sel,1951,North Central,,,,45.888053388658,56,147361.682488599,82522.5421936156
ND,2008,321133,asian,1655,race_sel,260,North Central,926,Vote by Race,,0,66.6212867592178,0,0
ND,2008,321133,black,3741,race_sel,260,North Central,926,Vote by Race,,1,94.6657335121554,3211.33,3040.0290999959
ND,2008,321133,latino,7770,race_sel,260,North Central,926,Vote by Race,,2,71.0987839297537,6422.66,4566.43315594272
ND,2008,321133,other,26430,race_sel,260,North Central,926,Vote by Race,,4,70.071427376871,12845.32,9000.89907512668
ND,2008,321133,white,458954,race_sel,260,North Central,926,Vote by Race,42,92,42,295442.36,124085.7912
ND,2012,325564,0,336178,educ_sel,1951,North Central,,,,52.0150971570713,51.5724447301266,169342.430908448,87334.031584912
ND,2012,325564,1,200360,educ_sel,1951,North Central,,,,47.9849028429287,49.2658961190842,156221.569091552,76963.9559442476
ND,2012,325564,asian,5735,race_sel,260,North Central,,,,0.962294694090035,66.923240363423,3132.88509786728,2096.62822435558
ND,2012,325564,black,4203,race_sel,260,North Central,,,,0.905272782512118,94.7013355617419,2947.24228165775,2791.07780297025
ND,2012,325564,latino,9409,race_sel,260,North Central,,,,2.18953146514423,66.1433155509206,7128.32621918216,4714.91130465266
ND,2012,325564,other,29154,race_sel,260,North Central,,,,6.04617495517881,60.0409756340874,19684.1690310783,11818.5671317223
ND,2012,325564,white,488037,race_sel,260,North Central,,,,89.8967261030748,43.9994573971462,292671.377370214,128773.817999649
ND,2012,325564,0,381849,inc_sel,917,North Central,,,,70.1882473884062,53.9900282805664,228507.665727591,123371.353349588
ND,2012,325564,1,154689,inc_sel,917,North Central,,,,29.8117526115938,41.6311159095424,97056.3342724093,40405.6350184997
ND,2016,349945,0,345948,educ_sel,1951,North Central,,,,49.1861806844356,41.0406550827021,172124.579996148,70641.0551887688
ND,2016,349945,1,227094,educ_sel,1951,North Central,,,,50.8138193155644,47.4909087460944,177820.420003852,84448.5333959511
ND,2016,349945,asian,4742,race_sel,260,North Central,,,,0.672656415665081,68.2612566398041,2353.92749379917,1606.82048765716
ND,2016,349945,black,7818,race_sel,260,North Central,,,,1.51459413579158,89.2523663220089,5300.24644849586,4730.59537618079
ND,2016,349945,latino,15599,race_sel,260,North Central,,,,3.37948682336498,62.6983177059982,11826.3451640246,7414.91946394807
ND,2016,349945,other,36025,race_sel,260,North Central,,,,8.29484299463961,53.4807199270437,29027.3883175916,15524.0562482666
ND,2016,349945,white,508858,race_sel,260,North Central,,,,86.1384196305388,36.8578179982011,301437.092576089,111103.134960764
ND,2016,349945,0,390039,inc_sel,917,North Central,,,,67.4824408046678,45.9388958883858,236151.427473895,108485.358406169
ND,2016,349945,1,183003,inc_sel,917,North Central,,,,32.5175591953322,41.6225357504699,113793.572526105,47363.770406415
NE,2008,811923,0,834792,educ_sel,1951,North Central,,,,54.9123868473904,65,445846.298662938,289800.09413091
NE,2008,811923,1,436571,educ_sel,1951,North Central,,,,45.0876131526096,56,366076.701337062,205002.952748755
NE,2008,811923,asian,14275,race_sel,260,North Central,1119,Vote by Race,,1,66.6212867592178,8119.23,5409.13550094044
NE,2008,811923,black,43365,race_sel,260,North Central,1119,Vote by Race,,4,94.6657335121554,32476.92,30744.5145401559
NE,2008,811923,latino,49133,race_sel,260,North Central,1119,Vote by Race,,2,71.0987839297537,16238.46,11545.3475889195
NE,2008,811923,other,19210,race_sel,260,North Central,1119,Vote by Race,,1,70.071427376871,8119.23,5689.26035301112
NE,2008,811923,white,1145380,race_sel,260,North Central,1119,Vote by Race,39,92,39,746969.16,291317.9724
NE,2012,804245,0,828963,educ_sel,1951,North Central,,,,51.9997841861044,51.5724447301266,418205.664327535,215678.885093577
NE,2012,804245,1,494360,educ_sel,1951,North Central,,,,48.0002158138956,49.2658961190842,386039.335672465,190185.738091199
NE,2012,804245,asian,14388,race_sel,260,North Central,,,,0.970782182468763,66.923240363423,7807.4671633959,5225.01001605476
NE,2012,804245,black,53970,race_sel,260,North Central,,,,4.67432806716054,94.7013355617419,37593.0497637353,35601.1202046476
NE,2012,804245,latino,62534,race_sel,260,North Central,,,,5.85154609049131,66.1433155509206,47060.7668554718,31127.5515218978
NE,2012,804245,other,19402,race_sel,260,North Central,,,,1.61798972564411,60.0409756340874,13012.6014690065,7812.89287736708
NE,2012,804245,white,1173029,race_sel,260,North Central,,,,86.8853539342353,43.9994573971462,698771.114748391,307455.498937282
NE,2012,804245,0,1012068,inc_sel,917,North Central,,,,75.6172426626503,53.9900282805664,608147.893252232,328339.219554549
NE,2012,804245,1,311255,inc_sel,917,North Central,,,,24.3827573373497,41.6311159095424,196097.106747768,81637.4138054224
NE,2016,860573,0,845276,educ_sel,1951,North Central,,,,51.2438581773648,41.0406550827021,440990.807632693,180985.516306956
NE,2016,860573,1,511025,educ_sel,1951,North Central,,,,48.7561418226353,47.4909087460944,419582.192367307,199263.39609202
NE,2016,860573,asian,11743,race_sel,260,North Central,,,,0.706057116558451,68.2612566398041,6076.13690968056,4147.64740970291
NE,2016,860573,black,60124,race_sel,260,North Central,,,,4.93716345624832,89.2523663220089,42487.8956703399,37921.4522862047
NE,2016,860573,latino,79001,race_sel,260,North Central,,,,7.25463593541645,62.6983177059982,62431.4381084914,39143.4614136855
NE,2016,860573,other,23635,race_sel,260,North Central,,,,2.30668781772436,53.4807199270437,19850.732553625,10616.3146804707
NE,2016,860573,white,1181798,race_sel,260,North Central,,,,84.7954556740524,36.8578179982011,729726.796757864,268961.374633116
NE,2016,860573,0,988941,inc_sel,917,North Central,,,,72.3849080729068,45.9388958883858,622924.974950256,286164.855705152
NE,2016,860573,1,367360,inc_sel,917,North Central,,,,27.6150919270932,41.6225357504699,237648.025049744,98915.1341866151
NH,2008,719643,0,608354,educ_sel,1951,Northeast,,,,48.1696323014255,60.6382751532733,346649.386982948,210202.209095855
NH,2008,719643,1,386276,educ_sel,1951,Northeast,,,,51.8303676985745,64.7086219578238,372993.613017052,241359.026974033
NH,2008,719643,asian,10486,race_sel,260,Northeast,2211,Vote by Race,,1,66.6212867592178,7196.43,4794.35426672638
NH,2008,719643,black,5201,race_sel,260,Northeast,2211,Vote by Race,,1,95.6250352166092,5201,4973.45808161585
NH,2008,719643,latino,19124,race_sel,260,Northeast,2211,Vote by Race,,2,75.3838231799097,14392.86,10849.888132932
NH,2008,719643,other,10824,race_sel,260,Northeast,2211,Vote by Race,,2,70.071427376871,10824,7584.53129927251
NH,2008,719643,white,948995,race_sel,260,Northeast,2211,Vote by Race,54,94,54,676464.42,365290.7868
NH,2012,718700,0,604119,educ_sel,1951,Northeast,3109,Are You a College Graduate?,50,49,50,352163,176081.5
NH,2012,718700,1,411350,educ_sel,1951,Northeast,3109,Are You a College Graduate?,55,51,55,366537,201595.35
NH,2012,718700,asian,12117,race_sel,260,Northeast,3109,Vote by Race,,1,66.923240363423,7187,4809.77328491921
NH,2012,718700,black,8168,race_sel,260,Northeast,3109,Vote by Race,,2,93.4742722207185,8168,7634.97855498829
NH,2012,718700,latino,22271,race_sel,260,Northeast,3109,Vote by Race,,3,83.2840731722545,21561,17956.8790166698
NH,2012,718700,other,13980,race_sel,260,Northeast,3109,Vote by Race,,1,60.0409756340874,7187,4315.14491882186
NH,2012,718700,white,958933,race_sel,260,Northeast,3109,Vote by Race,51,93,51,668391,340879.41
NH,2012,718700,0,686374,inc_sel,917,Northeast,3109,Vote by Income,56,67,56,481529,269656.24
NH,2012,718700,1,329095,inc_sel,917,Northeast,3109,Vote by Income,47,33,47,237171,111470.37
NH,2016,755850,0,604911,educ_sel,1951,Northeast,2800,Are you a college graduate?,39,44,39,332574,129703.86
NH,2016,755850,1,431847,educ_sel,1951,Northeast,2800,Are you a college graduate?,54,56,54,423276,228569.04
NH,2016,755850,asian,15091,race_sel,260,Northeast,2800,Race,,1,68.2612566398041,7558.5,5159.52708311959
NH,2016,755850,black,11525,race_sel,260,Northeast,2800,Race,,1,91.1736427383793,7558.5,6891.3597863804
NH,2016,755850,latino,22727,race_sel,260,Northeast,2800,Race,,4,74.8520105839824,22727,17011.6164454217
NH,2016,755850,other,13368,race_sel,260,Northeast,2800,Race,,2,53.4807199270437,13368,7149.30263984721
NH,2016,755850,white,974047,race_sel,260,Northeast,2800,Race,46,92,46,695382,319875.72
NH,2016,755850,0,645610,inc_sel,917,Northeast,2800,Income,50,61,50,461068.5,230534.25
NH,2016,755850,1,391148,inc_sel,917,Northeast,2800,Income,48,39,48,294781.5,141495.12
NJ,2008,3910220,0,3579975,educ_sel,1951,Northeast,,,,48.1317113344154,60.6382751532733,1882055.80294058,1141246.17632525
NJ,2008,3910220,1,2276570,educ_sel,1951,Northeast,,,,51.8682886655847,64.7086219578238,2028164.19705942,1312397.10295911
NJ,2008,3910220,asian,299223,race_sel,260,Northeast,1582,Vote by Race,,4,66.6212867592178,156408.8,104201.555164651
NJ,2008,3910220,black,767878,race_sel,260,Northeast,1582,Vote by Race,92,12,92.9062588041523,469226.4,435940.693561407
NJ,2008,3910220,latino,644804,race_sel,260,Northeast,1582,Vote by Race,78,9,76.6919115899549,351919.8,269894.021883546
NJ,2008,3910220,other,65767,race_sel,260,Northeast,1582,Vote by Race,,2,70.071427376871,65767,46083.8756429467
NJ,2008,3910220,white,4078873,race_sel,260,Northeast,1582,Vote by Race,49,73,49,2854460.6,1398685.694
NJ,2012,3683638,0,3571273,educ_sel,1951,Northeast,725,Are You a College Graduate?,55,49,55,1804982.62,992740.441
NJ,2012,3683638,1,2446569,educ_sel,1951,Northeast,725,Are You a College Graduate?,62,51,62,1878655.38,1164766.3356
NJ,2012,3683638,asian,386496,race_sel,260,Northeast,725,Vote by Race,,3,66.923240363423,110509.14,73956.2973857517
NJ,2012,3683638,black,788582,race_sel,260,Northeast,725,Vote by Race,96,18,96,663054.84,636532.6464
NJ,2012,3683638,latino,769827,race_sel,260,Northeast,725,Vote by Race,,10,83.2840731722545,368363.8,306788.376732097
NJ,2012,3683638,other,83311,race_sel,260,Northeast,725,Vote by Race,,2,60.0409756340874,73672.76,44233.8438805597
NJ,2012,3683638,white,3989626,race_sel,260,Northeast,725,Vote by Race,43,67,43,2468037.46,1061256.1078
NJ,2012,3683638,0,3568385,inc_sel,917,Northeast,725,Vote by Income,58,62,58,2283855.56,1324636.2248
NJ,2012,3683638,1,2449457,inc_sel,917,Northeast,725,Vote by Income,61,38,61,1399782.44,853867.2884
NJ,2016,3957303,0,3555796,educ_sel,1951,Northeast,1633,Are you a college graduate?,48,42,48,1662067.26,797792.2848
NJ,2016,3957303,1,2612683,educ_sel,1951,Northeast,1633,Are you a college graduate?,60,58,60,2295235.74,1377141.444
NJ,2016,3957303,asian,430088,race_sel,260,Northeast,1633,Race,,4,68.2612566398041,158292.12,108052.190273787
NJ,2016,3957303,black,809444,race_sel,260,Northeast,1633,Race,89,14,89.5434106845948,554022.42,496090.570825331
NJ,2016,3957303,latino,885156,race_sel,260,Northeast,1633,Race,76,14,75.7130026459956,554022.42,419467.009514009
NJ,2016,3957303,other,99234,race_sel,260,Northeast,1633,Race,,2,53.4807199270437,79146.06,42327.88268189
NJ,2016,3957303,white,3944557,race_sel,260,Northeast,1633,Race,42,67,42,2651393.01,1113585.0642
NJ,2016,3957303,0,3477110,inc_sel,917,Northeast,1633,Income,58,53,58,2097370.59,1216474.9422
NJ,2016,3957303,1,2691369,inc_sel,917,Northeast,1633,Income,50,47,50,1859932.41,929966.205
NM,2008,833365,0,956007,educ_sel,1951,West,,,,58.6645741270511,61,488890.028173899,298222.917186079
NM,2008,833365,1,410646,educ_sel,1951,West,,,,41.3354258729489,60,344474.971826101,206684.98309566
NM,2008,833365,asian,12688,race_sel,260,West,2744,Vote by Race,,0,66.6212867592178,0,0
NM,2008,833365,black,24350,race_sel,260,West,2744,Vote by Race,,1,94,8333.65,7833.631
NM,2008,833365,latino,524876,race_sel,260,West,2744,Vote by Race,69,41,69,341679.65,235758.9585
NM,2008,833365,other,133260,race_sel,260,West,2744,Vote by Race,79,8,74.5357136884355,66669.2,49692.3640303704
NM,2008,833365,white,671479,race_sel,260,West,2744,Vote by Race,42,50,42,416682.5,175006.65
NM,2012,786522,0,979566,educ_sel,1951,West,2514,Are You a College Graduate?,55,59,55,464047.98,255226.389
NM,2012,786522,1,477003,educ_sel,1951,West,2514,Are You a College Graduate?,48,41,48,322474.02,154787.5296
NM,2012,786522,asian,15233,race_sel,260,West,2514,Vote by Race,,1,67.0899254988581,7865.22,5276.77023832129
NM,2012,786522,black,24654,race_sel,260,West,2514,Vote by Race,,2,93.467974610502,15730.44,14702.9236653203
NM,2012,786522,latino,584605,race_sel,260,West,2514,Vote by Race,65,37,65,291013.14,189158.541
NM,2012,786522,other,146032,race_sel,260,West,2514,Vote by Race,65,10,63.1437474231709,78652.2,49663.9465107672
NM,2012,786522,white,686045,race_sel,260,West,2514,Vote by Race,41,51,41,401126.22,164461.7502
NM,2012,786522,0,1167929,inc_sel,917,West,2514,Vote by Income,55,81,55,637082.82,350395.551
NM,2012,786522,1,288640,inc_sel,917,West,2514,Vote by Income,42,19,42,149439.18,62764.4556
NM,2016,804043,0,993876,educ_sel,1951,West,2014,Are you a college graduate?,45,51,45,410061.93,184527.8685
NM,2016,804043,1,473545,educ_sel,1951,West,2014,Are you a college graduate?,51,49,51,393981.07,200930.3457
NM,2016,804043,asian,14057,race_sel,260,West,2014,Race,,1,67.1197511664075,8040.43,5396.71660870918
NM,2016,804043,black,27210,race_sel,260,West,2014,Race,,1,83.6044303797469,8040.43,6722.15570158228
NM,2016,804043,latino,610623,race_sel,260,West,2014,Race,54,40,54,321617.2,173673.288
NM,2016,804043,other,150114,race_sel,260,West,2014,Race,53,9,51.6698132567207,72363.87,37390.2764943361
NM,2016,804043,white,665417,race_sel,260,West,2014,Race,42,49,42,393981.07,165472.0494
NM,2016,804043,0,1145704,inc_sel,917,West,2014,Income,49,75,49,603032.25,295485.8025
NM,2016,804043,1,321717,inc_sel,917,West,2014,Income,47,25,47,201010.75,94475.0525
NV,2008,970019,0,1183483,educ_sel,1951,West,,,,60.4706143067454,61,586576.448192149,357811.633397211
NV,2008,970019,1,471626,educ_sel,1951,West,,,,39.5293856932546,60,383442.551807852,230065.531084711
NV,2008,970019,asian,96579,race_sel,260,West,2769,Vote by Race,,3,66.6212867592178,29100.57,19387.1741882669
NV,2008,970019,black,129091,race_sel,260,West,2769,Vote by Race,94,10,94,97001.9,91181.786
NV,2008,970019,latino,224176,race_sel,260,West,2769,Vote by Race,76,15,74.3675071924914,145502.85,108206.84243903
NV,2008,970019,other,57404,race_sel,260,West,2769,Vote by Race,,3,70.071427376871,29100.57,20391.1847738055
NV,2008,970019,white,1147859,race_sel,260,West,2769,Vote by Race,45,69,45,669313.11,301190.8995
NV,2012,1016664,0,1284226,educ_sel,1951,West,4388,Are You a College Graduate?,56,58,56,589665.12,330212.4672
NV,2012,1016664,1,539717,educ_sel,1951,West,4388,Are You a College Graduate?,49,42,49,426998.88,209229.4512
NV,2012,1016664,asian,133618,race_sel,260,West,4388,Vote by Race,50,5,62.8174441241436,50833.2,31932.1170065142
NV,2012,1016664,black,159277,race_sel,260,West,4388,Vote by Race,92,9,92.733987305251,91499.76,84851.3758227352
NV,2012,1016664,latino,290533,race_sel,260,West,4388,Vote by Race,71,19,71,193166.16,137147.9736
NV,2012,1016664,other,63107,race_sel,260,West,4388,Vote by Race,51,4,58.7156211347563,40666.56,23877.6232981383
NV,2012,1016664,white,1177408,race_sel,260,West,4388,Vote by Race,43,64,43,650664.96,279785.9328
NV,2012,1016664,0,1429292,inc_sel,917,West,4388,Vote by Income,59,78,59,792997.92,467868.7728
NV,2012,1016664,1,394651,inc_sel,917,West,4388,Vote by Income,37,22,37,223666.08,82756.4496
