state,year,votes,category,perwt,cat,question_id_mapped,region,respondents,question,democrat,total,democrat_cred,votes_total,votes_dem
LA,2008,1979852,0,2500632,educ_sel,1951,South,,,,65.9715903456823,60,1306139.8508908,783683.910534479
LA,2008,1979852,1,745864,educ_sel,1951,South,,,,34.0284096543177,62,673712.149109202,417701.532447705
LA,2008,1979852,asian,31192,race_sel,260,South,1861,Vote by Race,,0,66.6212867592178,0,0
LA,2008,1979852,black,973251,race_sel,260,South,1861,Vote by Race,94,29,94,574157.08,539707.6552
LA,2008,1979852,latino,75304,race_sel,260,South,1861,Vote by Race,,4,60.4642962962963,75304,45532.033682963
LA,2008,1979852,other,42158,race_sel,260,South,1861,Vote by Race,,1,70.071427376871,19798.52,13873.1055634953
LA,2008,1979852,white,2124591,race_sel,260,South,1861,Vote by Race,14,65,14,1286903.8,180166.532
LA,2012,2014548,0,2539035,educ_sel,1951,South,,,,63.6051696120319,49.3060325657402,1281356.6723158,631786.13813531
LA,2012,2014548,1,853382,educ_sel,1951,South,,,,36.3948303879682,49.521038950776,733191.327684205,363083.962966207
LA,2012,2014548,asian,37271,race_sel,260,South,,,,0.958190550990205,66,19303.2085811622,12740.117663567
LA,2012,2014548,black,1051440,race_sel,260,South,,,,31.0220918501459,95.2362874958726,624954.930925278,595183.874735629
LA,2012,2014548,latino,93959,race_sel,260,South,,,,2.99989001476514,61.9304985560116,60434.2242946508,37427.2164041355
LA,2012,2014548,other,56568,race_sel,260,South,,,,1.79073922873519,55.4526033154331,36075.3013177001,20004.6937345515
LA,2012,2014548,white,2153179,race_sel,260,South,,,,63.2290883553636,32.7462617749132,1273780.33488121,417115.442897567
LA,2012,2014548,0,2650482,inc_sel,917,South,,,,75.8838193695393,52.2220257290793,1528715.96543267,798326.444792791
LA,2012,2014548,1,741935,inc_sel,917,South,,,,24.1161806304607,43.8952672575615,485832.034567333,213257.269996179
LA,2016,2029032,0,2521343,educ_sel,1951,South,,,,59.1237627367177,42.7699097371566,1199640.06553208,513084.973198836
LA,2016,2029032,1,934028,educ_sel,1951,South,,,,40.8762372632823,47.6575247973468,829391.934467923,395267.666836245
LA,2016,2029032,asian,41414,race_sel,260,South,,,,1.23613904458488,72,25081.6567791214,18058.7928809674
LA,2016,2029032,black,1082442,race_sel,260,South,,,,29.2319644429588,87.7692895887596,593125.912776256,520582.400010566
LA,2016,2029032,latino,104017,race_sel,260,South,,,,2.68425192129601,61.6474876183559,54464.3304437108,33575.8913667071
LA,2016,2029032,other,58076,race_sel,260,South,,,,2.72948312805335,56.6608608331314,55382.0861028034,31379.9667331944
LA,2016,2029032,white,2169422,race_sel,260,South,,,,64.118161463107,29.3983957197616,1300978.01389811,382466.664752861
LA,2016,2029032,0,2601832,inc_sel,917,South,,,,69.8296874107484,48.5656534531744,1416866.70306406,688110.572903507
LA,2016,2029032,1,853539,inc_sel,917,South,,,,30.1703125892516,41.335218022973,612165.296935944,253039.860149453
MA,2008,3102995,0,2645413,educ_sel,1951,Northeast,767,Are You a College Graduate?,60,53,60,1644587.35,986752.41
MA,2008,3102995,1,1980118,educ_sel,1951,Northeast,767,Are You a College Graduate?,64,47,64,1458407.65,933380.896
MA,2008,3102995,asian,147158,race_sel,260,Northeast,767,Vote by Race,,3,66.6212867592178,93089.85,62017.6559122257
MA,2008,3102995,black,214776,race_sel,260,Northeast,767,Vote by Race,,9,95.6250352166092,214776,205379.625636825
MA,2008,3102995,latino,255886,race_sel,260,Northeast,767,Vote by Race,,6,75.3838231799097,186179.7,140349.375844886
MA,2008,3102995,other,64291,race_sel,260,Northeast,767,Vote by Race,,3,70.071427376871,64291,45049.6213748641
MA,2008,3102995,white,3943420,race_sel,260,Northeast,767,Vote by Race,59,79,59,2451366.05,1446305.9695
MA,2012,3184196,0,2695081,educ_sel,1951,Northeast,1920,Are You a College Graduate?,62,40,62,1273678.4,789680.608
MA,2012,3184196,1,2106799,educ_sel,1951,Northeast,1920,Are You a College Graduate?,59,60,59,1910517.6,1127205.384
MA,2012,3184196,asian,185630,race_sel,260,Northeast,1920,Vote by Race,,2,66.923240363423,63683.92,42619.34285445
MA,2012,3184196,black,248059,race_sel,260,Northeast,1920,Vote by Race,92,6,92.7371361103592,191051.76,177175.930712437
MA,2012,3184196,latino,335821,race_sel,260,Northeast,1920,Vote by Race,,4,83.2840731722545,127367.84,106077.12506352
MA,2012,3184196,other,84817,race_sel,260,Northeast,1920,Vote by Race,,1,60.0409756340874,31841.96,19118.2234450158
MA,2012,3184196,white,3947553,race_sel,260,Northeast,1920,Vote by Race,57,86,57,2738408.56,1560892.8792
MA,2012,3184196,0,3003254,inc_sel,917,Northeast,1920,Vote by Income,63,62,63,1974201.52,1243746.9576
MA,2012,3184196,1,1798626,inc_sel,917,Northeast,1920,Vote by Income,54,38,54,1209994.48,653397.0192
